content,cleaned_text
"yah jawaban tamplate, pulsa ada, koneksi bagus, nomor aktif, apa lagi?... dulu bagus performenya, skrg sampah...mana minta reset psswrd dicoba berkali2 ga mau kirim OTP...tapi pulsa saya habis dipotong...ke office nya malah dibilang ga ada pulsalah, pengaturan sms-lah msh ga bisa, telp ke halo bca operatornya jawaban tamplate, dan ada satu operator yg ketus ga bisa mgelayani komplen client. saya sdh berminggu2 ga pakai mybca, tolong perbaikilah....",yah tamplate pulsa koneksi bagus nomor aktif bagus performenya skrg sampah reset psswrd coba kali kirim otp pulsa habis potong office bilang pulsa atur sms msh telp halo bca operator tamplate operator ketus mgelayani komplen client sdh minggu pakai mybca tolong baik
saya paling males kalo suruh ufdate lg,males kalo suruh ufdate lg
kenapa masuk pakai locksmart sekarang gak bisa ya kak ? setelah update banyak sekali penurunan d BCA. thank you,masuk pakai locksmart kak update turun bca thank you
males banget baru pindahin ke new device ada kendala di bca id udah telp Cust service selesai.. mau login lagi pake muka ga kedetek mulu.. heran,males pindahin new device kendala bca id telp cust service selesai login pake muka kedetek mulu heran
ini mybca emg gabisa masuk pakai wifi kah?,mybca emg gabisa masuk pakai wifi kah
bca memang terbaik dan selalu dipercaya,bca baik percaya
saya coba login ulang tidak bisa lantaran saat proses memasukan nomor hp tidak ada negara indonesia,coba login ulang tidak lantar proses pasu nomor hp tidak negara indonesia
"Verifikasi Wajahnya Susah, Tidak Semudah Mandiri, Saya Sampai Terblokir 2 kali",verifikasi wajah susah tidak mudah mandiri blokir kali
lemott,lemott
otp ga masukdan cs gada solusii,otp masukdan cs gada solusi
"Ini sudah bagus Apk nya lancar di HP Oppo F7 Login langsung masuk beda Versi Sebelumnya Apk nya sering keluar sendiri saat mulai dibuka jadi terasa terganggu krn sering keluar sendiri saat mulai login dan susah masuknya klu diulang2 malahan tambah error apk nya beda yg sekarang sudah sangat bagus, pertahankan👌👍👍👍👍👍",bagus apk lancar hp oppo login langsung masuk beda versi apk buka ganggu krn login susah masuk klu ulang error apk beda bagus tahan
aplikasi maling.... duit gua 10jt ilang gitu aja kocak... emang bank indon enggak ada yang bener bye dah...,aplikasi maling duit gua jt ilang gitu kocak emang bank indon bener bye dah
duit ilang sendiri,duit ilang
"jadi lemot, ribet dan sering eror bank Sebesar BCA kenapa begini, mohon di perbaiki agar nyaman aman dalam transaksi Mobile",ribet eror bank bca mohon baik nyaman aman transaksi mobile
mantap,mantap
"sumpah kesal banget sama kode otp yang ga muncul"" di SMS padalah semuanya udah oek, jelek bgt si aplikasinya, nyusahin banget",sumpah kesal kode otp muncul sms pada oek jelek bgt si aplikasi nyusahin
"Transaksi cicilan kartu kredit jangan masuk notifikasi, biasa masuk tengah malam, sangat mengganggu. makin sering minta pengkinian data, banyak error transaksi qris, payah",transaksi cicil kartu kredit jangan masuk notifikasi masuk malam ganggu kini data error transaksi qris payah
ga bener ga bisa isi etol parah di tab juga ga bisa,bener isi etol parah tab
fitur fiturnya ditambah lagi,fitur fiturnya tambah
kenapa aplikasi Bank BCA tidak bisa di opdate,aplikasi bank bca tidak opdate
transaksi qris gagal tapi saldo terpotong,transaksi qris gagal saldo potong
baik sekali,
"Brengsek nyusahin banget nih aplikasi, susah banget ngirim kode OTP padahal pulsa banyak,,, kalau saja rekening saya bukan bca, males banget download aplikasi payah seperti ini",brengsek nyusahin nih aplikasi susah ngirim kode otp pulsa rekening bukan bca males download aplikasi payah
mantap,mantap
"cuhhhh.....apk gaguna, mau narik duit tp waktu cek saldo malah nunggu sesaat. Sesaatnya brp jam? ato berhari-hari?",cuhhhh apk gaguna narik duit tp cek saldo nunggu saat brp jam ato hari
"aplikasi malah ga bisa dibuka,,",aplikasi buka
bank yg selalu bikin nasabahnya kecewa,bank bikin nasabah kecewa
Tingkatkan.. Biar semua akses lebih muda jgn smpe ada gangguan.Mybca good luck,tingkat biar akses muda jgn smpe ganggu mybca good luck
"sering bgt maintenance ya, merepotkan",bgt maintenance repot
"beberapa hari ini BCA error terus, ga bisa dipakai pada saat urgent, kecewa sekali",bca error pakai urgent kecewa
"26/05/26 : mau transaksi payment qrish diresto ga bisa, tarik tunai ga bisa, UNTUNG SAYA MAKAN BERDUA GA SENDIRI!! APA GA MALU GARA2 APLIKASI ERROR NGERUGIIN ORANG TAU GA!! BIKIN MALU!! CS DITLP GA BISA!!!",transaksi payment qrish diresto tarik tunai untung makan dua malu gara aplikasi error ngerugiin orang tau bikin malu cs ditlp
aplikasi ini sangat penting sekali,aplikasi
kadang loading lama,kadang loading
"SALDO KEPOTONG, UDAH CHAT GA ADA BALESAN ERROR MULU, GA ADA SOLUSI",saldo potong chat balesan error mulu solusi
sekelas BCA bisa BAPUK juga,kelas bca bapuk
bayak gangguan,bayak ganggu
gangguan parah,ganggu parah
"ga bisa transaksi,gua udh selesai makan suruh bayar pakek daon guaaaaa????",transaksi gua udh selesai makan suruh bayar pakek daon guaaaaa
blm maksimal,blm maksimal
aplikasih lelet,aplikasih lelet
nybca hri ini tgl 26 mei 2026 pukul 22.00 wib trouble tidak bisa cek saldo maupun tarik tunai,nybca hri tgl mei wib trouble tidak cek saldo tarik tunai
bagusin lagi ini aplikasinya kadang ERORR sering gangguan saat akan membayar dengan Qris.,bagusin aplikasi kadang erorr ganggu bayar qris
"lama2 bca gak bener kenapa si ? gila aja .masak transaksi kepending , udah sering loh kaya gini trus, berapa minggu lalu kepending dan gak ada refund / pengembalian dana udah gua diemin aja karna cuma 50rb, sekarang kepending lagi, dan buat laporan katanya nunggu 1*24 jam untuk buat laporan lg. ya kali uang pribadi mau make harus nunggu selama itu dan belum tentu pengembalian dana langsung . karna dulu gua juga pernah buat laporan ke bca karna pending dan proses nya 7 hari .tolong dong benerin",bca bener si gila masak transaksi pending loh kaya gin trus minggu pending refund kembali dana gua diemin karna rb pending lapor nunggu jam lapor lg kali uang pribadi make nunggu belum kembali dana langsung karna gua lapor bca karna pending proses tolong benerin
gangguan terus,ganggu
ada apa dengan BCA saldo tiba tiba hilang transaksi slalu gagal slalu ada saja gangguan nya,bca saldo hilang transaksi slalu gagal slalu ganggu
kaga bagus udh kebangetan parah inih aplikasi cek saldo aja kaga bisa KACRUT.,kaga bagus udh banget parah inih aplikasi cek saldo kaga kacrut
"aplikasi mbanking baru kali ini annoying bgt, tiap sebulan ada terus pemeliharaan sistem, 1 bulan ada BRP kali dan itu ganggu bgt pas mau byr qris, plis la kalo gak ada kepentingan jgn dikit"" pemeliharaan najissss",aplikasi mbanking kali annoying bgt bulan pelihara sistem brp kali ganggu bgt pas byr qris plis la kalo penting jgn dikit pelihara najissss
kenapa sering eror sekarang,eror
"ko lemot banget ya skrng, my bca sm bca mobile",ko skrng bca sm bca mobile
"Direktur, Manajer IT dan semua yg jd app developer perlu disentil. komunikasi kalian Jelek! kalau ad masalah atau pemeliharaan sistem BILANG! PAKAI POP UP NOTIF! PAKAI NOTIFIKASI! JANGAN CM DIEM2 TP TIBA2 G BS DIPAKAI! GW UD AKTIFIN NOTIFIKASI! INI SALAH LU!",direktur manajer it jd app developer sentil komunikasi jelek ad pelihara sistem bilang pakai pop up notif pakai notifikasi jangan cm diem tp bs pakai gw ud aktifin notifikasi salah lu
terlalu banyak bug,bug
Bagus tapi kadang Error,bagus kadang error
tolong dong min di perbaiki sistem nya kok lemot bngt malahan sesudah di update,tolong min baik sistem bngt update
sudah seminggu ini my bca trouble trus . transfer susah . terima susah . bayar qr susah . kenapa ini,minggu bca trouble trus transfer susah terima susah bayar qr susah
sangat baik sekali,
tidak bisa verifikasi wajah.,tidak verifikasi wajah
"aplikasi gajelas, jelas² verifikasi muka muka gw kenapa ga bisa² setiap di HP baru masa harus telpon layanan terus 😮‍💨😮‍💨👎👎👎👎👎👎👎",aplikasi gajelas jelas verifikasi muka muka gw bisa hp telpon layan
susah banget bukanya kalau lagi dibutuhin,susah buka dibutuhin
"MyBCA ini kenapa dah, setiap bulan minta update, udah gitu updatenya susah lagi, ngak semua penyimpanan HP orang luas, minta update terus, tapi aplikasinya gitu² aja, buruk amat nih aplikasi",mybca dah update gitu updatenya susah ngak simpan hp orang luas update aplikasi gitu buruk nih aplikasi
"trimakasih ,",trimakasih
mantap,mantap
ada ada aja pake gak bisa di buka,pake buka
"bolak balik verifikasi ulang, buang waktu",bolak verifikasi ulang buang
"BCA makin kesini makin kesono semakin lama makin bobrok sering gagal tf kmrn sy topup ovo utk beli pempers di akun saya berhasil, saldo berkurang, tp di tempat abang ny belom masuk2 sampe sekarang, saldo ga balik BCA makin kesini makin BOBROK",bca kesini sono bobrok gagal tf kmrn sy topup ovo utk beli pempers akun hasil saldo kurang tp abang ny bom masuk sampe saldo bca kesini bobrok
oke,oke
bagus,bagus
suka,suka
"mau login kode negara Indonesia tidak tertera,jadi gak ada gunanya",login kode negara indonesia tidak tera guna
"dari segi pelayanan sudah sangat bagus dan sangat mudah,tapi tolong untuk pengiriman kartu card fisiknya lama banget untuk sampai,di keterangan 7 hari maksimal tapi nyatanya tidak sesuai",segi layan bagus mudah tolong kirim kartu card fisik terang maksimal tidak sesuai
Aplikasi tidak kompitebel dengan perangkat anda,aplikasi tidak kompitebel perangkat
"setiap kali transfer ke bank bca, saldo yang kepotong melebihi biaya admin",kali transfer bank bca saldo potong lebih biaya admin
top,top
aman dan amanah,aman amanah
sangat membantu sekali,bantu
"apk kebanyakan eror,saya ingin masuk ke akun saya tidak bisa, saya kasih bintang 5 biar nongol, kalo kebanyakan gini orang² yang baru daftar bakal nyesel daftr di apk ini .",apk banyak eror masuk akun tidak kasih bintang biar nongol kalo banyak gin orang daftar nyesel daftr apk
"Semua layanan lengkap dan mudah digunakan. Tapi sayang seringkali BCA ID terblokir padahal sudah memasukan password yang benar, jadi harus gonta-ganti password dan menghubungi haloBCA.",layan lengkap mudah sayang seringkali bca id blokir pasu password gonta ganti password hubung halobca
knp ya kalo bca saldo bnyak bnyak bngt tlfon seluler penipuan masuk giliran saldo dibikin 0 sama sekali ga ada tlfon penipu??,knp kalo bca saldo bnyak bnyak bngt tlfon seluler tipu masuk gilir saldo bikin tlfon tipu
Biaya Bulanan Termahal,biaya bulan mahal
semoga berjln lancar..,moga berjln lancar
Ukurannya jgn besar² cuma mau update memori tidak mencukupi kalo tidak d update gak bisa di buka. Ini juga tuntutan pekerjaan min kalo bukan karena menyangkut pekerjaan juga gak nginstal harus e apk ne d update lebih fleksibel yg bisa ngikutin hpnya jangan karena cuma mau nginstal apk harus ganti hp dulu,ukur jgn besar update memori tidak cukup kalo tidak update buka tuntut kerja min kalo bukan kerja nginstal apk ne update fleksibel ngikutin hpnya jangan nginstal apk ganti hp
kenapa sering skali minta update,skali update
"kenapa ngak bisa buat login?kalau login tulisannya gagal terus, disuruh masukin pasword juga salah terus padahal pasword benar!!",ngak login login tulis gagal suruh masukin pasword salah pasword
mybca ok banget,mybca ok
sangat cocok untuk sahari hari,cocok sahari
"min tolang perbaiki,soalnya aplikasinya lag banget pas buka atau scroll",min tolang baik aplikasi lag pas buka scroll
Selalu suka dengan MyBCA,suka mybca
"Daftar aja di bolak balik trs goblokk bener , bikin orang emosi doank,",daftar bolak trs goblokk bener bikin orang emosi doank
Lancar jaya,lancar jaya
mau buat rekening baru aja lemot nya setengah mati,rekening mati
terlalu sering pemblokiran Tampa keterangan yang jelas,blokir tampa terang
gangguan nya lama kali,ganggu kali
"Ribet bngt pin my bca lupa aja harus banget ke kantor cabang nya buat apa ada hallo bca & my bca kalo ujung""a di suruh ke kantor cabang juga kocak.. ribet aplikasi nih kebanyakan pin.. mending M-banking kalo gini mah.",ribet bngt pin bca lupa kantor cabang hallo bca bca kalo ujung suruh kantor cabang kocak ribet aplikasi nih banyak pin mending banking kalo gin mah
buat bca,bca
keren,keren
"tolong ditingkatkan lagi aplikasi ny, Uang saya sering nyangkut di flazz bahkan terkirim 2 kali saat pengiriman karna gagal, kalau gini terus saya bakal pindah ke bank lain",tolong tingkat aplikasi ny uang nyangkut flazz kirim kali kirim karna gagal gin pindah bank
"hari ini 25/05/2026 saya selaku nasabah BCA kecewa transaksi saya gagal. saldo terpotong, tidak ada mutasi dan penerima juga tidak menerima dana. saya hubingi CS infonya kendala dari pagi, namun tidak ada pemberitahuan lebih awal. saya kira nama yang besar menjamin profesionalitas namun ternyata tidak",nasabah bca kecewa transaksi gagal saldo potong tidak mutasi terima tidak terima dana hubingi cs info kendala pagi tidak pemberitahuan nama jamin profesionalitas tidak
kenapa sih my bca ketika transaksi gagal saldo selalu terpotong dan yg bikin keselnya lagi ketika ada kendala qris ataupun virtual account gak ada notifikasi,sih bca transaksi gagal saldo potong bikin kesel kendala qris virtual account notifikasi
bagus,bagus
error terus belakangan,error
pembelian paket data di BimaTri dengan qris my bca berhasil. tapi di aplikasi BimaTri gagal..,beli paket data bimatri qris bca hasil aplikasi bimatri gagal
abis update malah suka gagal transaksi gimana sih ini,abis update suka gagal transaksi gimana sih
"kenapa aplikasi nta gbisa di update, tkutnya pas mo bayar pke qris nanti tbtb malah gbisa dipake klo diupate aja gbusa",aplikasi nta gbisa update tkutnya pas mo bayar pke qris tbtb gbisa dipake klo diupate gbusa
josss,josss
"sering gangguan disaat momen yg g tepat. Udh masalah uang, paniknya bukan main. gmna ini, akhir2 ini kok jadi makin sering trjadi.",ganggu saat momen udh uang panik bukan main gmna trjadi
"setelah di upgrade kok malah jadi lemot ya, hari kemaren malah susah banget buat login 🥲 tolong dong diperbaiki",upgrade kemaren susah login tolong baik
sekarang top-up uang elektronik tp ga masuk 😭😭 gagal keluar parkiran,top up uang elektronik tp masuk gagal parkir
kenapa saya tf ke shopee uang gk masuk tapi duit mah kepotong ya?,tf shopee uang masuk duit mah potong
ok.,ok
"kenapa aplikasinya sering gangguan ya? kadang error, kadang tidak bisa tf, sering bgt terjadi 2x tf eror tapi saldo berkurang, setelah 15 mnit baru muncul notif pengeluaran saldo",aplikasi ganggu kadang error kadang tidak tf bgt tf eror saldo kurang mnit muncul notif keluar saldo
setelah di update bukannya makin lancar malah makin lemot,update lancar
"aplikasi sampah ga ada perbaikan mau transaksi qris,salah tekan pasword bukannya di ulang malah error keluar minta id lagi, lupa id kirim ke email , masukan id malah si blokir, bener2 sampah cuma bikin susah ini aplikasi ga ada bagus2 nya, bank maling transaksi gagal tapi saldo terpotong uang tidak dibalikin",aplikasi sampah baik transaksi qris salah tekan pasword ulang error id lupa id kirim email masuk id si blokir bener sampah bikin susah aplikasi bagus bank maling transaksi gagal saldo potong uang tidak dibalikin
kalau bisa akses dengan pembaca layar TalkBack karena banyak tombol-tombolnya yang tidak terbaca dan lebih bagus lagi kalau ada mode gelap dan semoga dipertimbangkan terima kasih,akses baca layar talkback tombol tombol tidak baca bagus mode gelap moga timbang terima kasih
"sering banget gangguan heran deh, duit kepotong tapi blom berhasil pembayarannya",ganggu heran deh duit potong blom hasil bayar
ruet setengah matii,ruet mati
lemot banget abis update,abis update
"Makin kesini makin Jelek , sering terjadi gangguang System Transaksi sering gagal tapi Saldo Berkurang",kesini jelek gangguang system transaksi gagal saldo kurang
"ini bca gimana dah, transaksi gua gagal tapi saldonya udah berkurang anjir bgt, gua ulangin sekali malah tiba2 berkurang saldo tapi gagal, dan history transaksinya gak ada, gak masuk juga ini saldonya ke yg gua tf. kacaau banget sih.",bca gimana dah transaksi gua gagal saldo kurang anjir bgt gua ulangin kurang saldo gagal history transaksi masuk saldo gua tf kacaau sih
kalo perbaikan ga pernah ada info tiba-tiba ga bisa digunain apknya,kalo baik info digunain apknya
"apk kaga jelass, loading mulu padahal sinyal bagus, tiba tiba gagal ga danta",apk kaga jelass loading mulu sinyal bagus gagal danta
kenapa sering eror sihhh... ?? transfer aja masalah terus.. saldo udah kepotong tapi belum terkirim.,eror sihhh transfer saldo potong belum kirim
aplikasi perbankan terburuk si. mending Brimo. bisa sehari 2 kali bermasalah ni aplikasi,aplikasi perban buruk si mending brimo hari kali masalah ni aplikasi
APLIKASI SANGAT LAMBANNN ‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️,aplikasi lambannn
simple tp beberapa kalo sering trouble,simple tp kalo trouble
"Plis banget, sekalinya lama beneran lama banget kalau mau ngurus apa-apa di aplikasi ini.",plis sekali beneran ngurus aplikasi
blm bisa bisa,blm
"apk butut, sinyal kuat buat buka loading mulu",apk butut sinyal kuat buka loading mulu
saat foto wajah tidak bisa kenapa ya,foto wajah tidak
Nice apps,nice apps
bagus,bagus
saya tidakk bisa masuk kode negara indonesia nya gk ada,tidakk masuk kode negara indonesia
"cs nya lama, dari pagi sampe siang blm bisa vdcall",cs pagi sampe siang blm vdcall
mantap,mantap
sangat bagus,bagus
"buat verifikasi via video callnya susah banget. jaringan bagus, tapi di barnya merah",verifikasi via video callnya susah jaring bagus bar merah
ngeselin sumpah di suruh update giliran udah mau di update malah ga bisa di buka susah banget ga bisa di install,ngeselin sumpah suruh update gilir update buka susah install
ok,ok
"Mata saya minus. Verifikasi muka lepas kacamata, saya ngga tau disuruh ngapain, tulisannya ngga keliatan, 3 kali saya diblokir dan vc sama cs nya. Semoga paham.😭",mata minus verifikasi muka lepas kacamata ngga tau suruh ngapain tulis ngga liat kali blokir vc cs moga paham
sering ganguan knpa yh setiap transaksi gagal terus,ganguan knpa yh transaksi gagal
"Makin lama makin Lemot, padahal sinyal bagus hp juga yg terbaru.",sinyal bagus hp baru
lemot banget ih kesel,ih kesel
Bagus,bagus
sangat membantu transaksi,bantu transaksi
easy and usefull,easy and usefull
bagus,bagus
ini gimana tolong ko banyak update dan kadang kalo update saldo sisa malah hilang😕,gimana tolong ko update kadang kalo update saldo sisa hilang
aplikasi rusak,aplikasi rusak
aplikasi busuk ga guna mau akses aja eror mulu klo ga bisa stabil mnding apus aja,aplikasi busuk akses eror mulu klo stabil mnding apus
"kok saya tf ke rekening BNI dari semalem ndak masuk ke rekening yg bersangkutan ya? pdhl status berhasil terkirim... jadi tanda tanya besar ini, ataukah ada gangguan ya?",tf rekening bni semalem ndak masuk rekening sangkut pdhl status hasil kirim tanda ganggu
kebanyakan update,banyak update
pelayanannya sangat sangat baguss 👍🏻👍🏻,layan baguss
mantap,mantap
ok,ok
"Setelah hp ke reset, gak bisa masuk, verifikasi wajah gagal terus😌 lah emang wajah tetangga yang di daftarin??! Saya verifikasi app yang lain ok ok aja tuh. Ini doang bikin emosi. Aaarrggghhh!!!",hp reset masuk verifikasi wajah gagal emang wajah tetangga daftarin verifikasi app ok ok tuh doang bikin emosi aaarrggghhh
good,good
sangat senang sekali,senang
rada eror aja sib,rada eror sib
"Aplikasinya sangat lama sampe 3 kali delay mau login lama, mau scan lama udah masukin pin lama kalau mau payment padahal sinyal dan kuota masih amat cukup.",aplikasi sampe kali delay login scan masukin pin payment sinyal kuota
"ini kenapa dengan aplikasi ini,ko di update nya susah bangett ... penyimpanan slalu penuh Mulu,pdhal ruangan nya masih kosong ... tolong dong di perbaiki lagi,jadi ga nyaman .",aplikasi ko update susah bangett simpan slalu penuh mulu pdhal ruang kosong tolong baik nyaman
parah. tidak bisa setor tunai cardless di atm BCA Indomaret . why ?,parah tidak setor tunai cardless atm bca indomaret why
"Ini ko gabisa di update ya, katanya aplikasi sudah tidak kompatibel dengan perangkat saya, mau buka mybca jdi ga bisa, gimna dong",ko gabisa update aplikasi tidak kompatibel perangkat buka mybca jdi gimna
👍👍👍👍👍,
"Lah myBCA jadi gak bisa di buka sih , harus hubungi develover terus kenapa ya.",mybca buka sih hubung develover
bagus,bagus
"ini kenapa jadi lemot banget buka apknya, setelah di update malah begini ya?? mau transaksi jd lama Tolong dong diperbaiki sistemnya",buka apknya update transaksi jd tolong baik sistem
"mohon diperiksa kembali untuk aplikasinya. Ponsel saya usai diupgrade ke Android 16, fitur login biometrik tidak bisa digunakan sampai saat ini. Fitur ini sangat membantu untuk login cepat.",mohon periksa aplikasi ponsel diupgrade android fitur login biometrik tidak fitur bantu login cepat
verifikasi wajah agak ribet,verifikasi wajah ribet
knp diupgrade dihp sy tk bs...jd gk bs dibuka neh my bca knp y,knp diupgrade dihp sy tk bs jd bs buka neh bca knp
planet pintar,planet pintar
"apk nya stuck di verifikasi wajah, gk bisa login, tolong min di perbaiki apk nya ada masalah",apk stuck verifikasi wajah login tolong min baik apk
ini nggak nentu bayar per bulan ny kalo kayagini sayah hapus ajah,nggak nentu bayar ny kalo kayagini sayah hapus ajah
"narik uang pas gk tau kalau my BCA lagi gangguan, ehhh narik 800 cuma keluar 700. bikin laporan sampe 3 kali gk jelas hasilnya, laporan ditutup doang pas udah mendekati deadline, cuma 100k aja susah investigasi nya apalagi lebih. serem amat.",narik uang pas tau bca ganggu ehhh narik bikin lapor sampe kali hasil lapor tutup doang pas dekat deadline susah investigasi rem
"parah banget sekarang BCA, lemot. Tidak support dg perangkat lama.",parah bca tidak support dg perangkat
"disuruh nambah no telp, tapi negara Indonesia tidak ada. Keren.",suruh nambah no telp negara indonesia tidak keren
aplikasi lawak.... tiba tiba ke logout sendiri.... pas mau transaksi... bikin lama.. huuu.... mending ganti bank aja ini mah,aplikasi lawak logout pas transaksi bikin huuu mending ganti bank mah
apk ini knapa tidak bisa di update di hp saya,apk knapa tidak update hp
"potongan mulu banyak bgt jadi susah buat ubah ke tunai atau transfer, bca sampah",potong mulu bgt susah ubah tunai transfer bca sampah
sangat membantu,bantu
ok,ok
kadang susah login aneh padahal sinyal tidak ada kendala buka aplikasi lain seperti mandiri bisa,kadang susah login aneh sinyal tidak kendala buka aplikasi mandiri
Baik,
ok nih bisa bantu bgt,ok nih bantu bgt
kembali kan ke semula pulihkan akun BCA,pulih akun bca
Kapok pake BCA say rugi beberapa kali gara2 pembayaran sering pending.Gk bakal di pake lagi qris BCA,kapok pake bca say rugi kali gara bayar pending pake qris bca
"Kenapa myBCA besar banget menggunakan memori ya,saya dipersilahkan update melulu,sudah beberapa aplikasi saya, yang saya hapus masih juga ga bisa,saya jadi ga bisa transaksi myBCA saya,please deh",mybca memori silah update melulu aplikasi hapus transaksi mybca please deh
terimakasih,terimakasih
aplikasi tidak kompetibel dngn perangkat.maksudnya? terus saya hubungi developer apaan?,aplikasi tidak kompetibel dngn perangkat maksud hubung developer
ga bisa setor tunai tanpa kartu. tiap d klik cardles setor tunai selalu balik lagi ke menu awal,setor tunai kartu klik cardles setor tunai menu
mudah dan cepat,mudah cepat
Knpaa susah di download yahh,knpaa susah download yahh
good,good
nggak jelas... saya transfer ke toko buat bayar beli roko lewat QRIS. uang di rekening udah kepotong tapi aneh belum masuk ke rekening toko gak jelas... ilang dah tuh duit gak tau ke mana,nggak transfer toko bayar beli roko qris uang rekening potong aneh belum masuk rekening toko ilang dah tuh duit tau
"untuk setoran awal dalam pembukaan rekening bca saya secara online, setelah saya tf sejumlah uang kenapa saldo saya tidak bertambah.",setor buka rekening bca online tf uang saldo tidak tambah
tida bisa buka BCA embngking,tida buka bca embngking
kenapa aplikasi BCA ini buat login aja susah. padahal koneksi internet bagus di pakai nonton dan download juga lancar. aplikasi mybca setelah di update malah tambah lemot nggak bisa masuk ini gimana sih tolong dong aplikasinya di perbaiki,aplikasi bca login susah koneksi internet bagus pakai nonton download lancar aplikasi mybca update nggak masuk gimana sih tolong aplikasi baik
sangat bagusss,bagusss
"uang suka ilang tanpa sebab, tolong lebih diperhatikan",uang suka ilang tolong perhati
mudah n cept,mudah cept
uang sy sampai skrg masih terproses,uang sy skrg proses
sering update bikin memori semakin byk dan hrs menghapus aplikasi lain,update bikin memori byk hrs hapus aplikasi
good,good
sering eror costumer service sellow respon,eror costumer service sellow respon
good,good
bagus. sangat. membantu,bagus bantu
oke,oke
"aneh, gada opsi kode negara Indonesia",aneh gada opsi kode negara indonesia
ok baik,ok
"tbtb akun mybca di blokir, telfon cs gak ada solusi, payah",tbtb akun mybca blokir telfon cs solusi payah
"sumpah makin lemot aja, mau setoran virtual account susah banget astaga",sumpah setor virtual account susah astaga
Perangkat tidak kompatible aplikasi myBCA,perangkat tidak kompatible aplikasi mybca
update mlu ih cape,update mlu ih cape
tidak bisa login,tidak login
kenapa harus di update tapi memonya besar hmm jadi kan harus hapus apk lain 🙃,update memo hmm hapus apk
upduta apdate melulu... memori udah penuh udah diapusin masih ga bisa juga ... bikin repot aja... emang harga hp murah suruh gonta ganti ...,upduta apdate melulu memori penuh diapusin bikin repot emang harga hp murah suruh gonta ganti
sangat membantu,bantu
"aplikasi aneh, masa ga ada kode telfon Indonesia",aplikasi aneh kode telfon indonesia
"aplikasi bikin emosi, Banyak banget Bug,paling kesal adalah saat ini, Memindahkan akun ke hp baru tapi verifikasi wajah gagal terus,padahal sudah ikutin semua aturan,bahkan smpe pake baju yang sama saat dulu bikin,GAJELASSS,",aplikasi bikin emosi bug kesal pindah akun hp verifikasi wajah gagal ikutin atur smpe pake baju bikin gajelasss
aplikasi bagus jos jis,aplikasi bagus jos jis
rigistrasi ribet,rigistrasi ribet
BCA memberi kemudahan bertransaksi,bca mudah transaksi
bagus sangat² membantu terutama bagi kita yg devisa,bagus sangat bantu devisa
bank aneh no hp di blokir ngk jelas,bank aneh no hp blokir ngk
"myBCA sudah ada notif untuk update, selesai di update, begitu di akses aplikasi, ada notif lagi untuk di update kembali, dan ternyata lebih lama dari up date sebelumnya (jadi dalam waktu yang sama ada notif up date 2x), aplikasi mau dipakai segera, tapi masih harus menunggu terlalu lama waktu up date-nya.",mybca notif update selesai update akses aplikasi notif update up date notif up date aplikasi pakai tunggu up date
apakah kimitnya tf ke bank lain brubah ...?,kimitnya tf bank brubah
ini kenapa setiap login cuma muter2 doang gak kebuka buka,login muter doang buka buka
ist good,ist good
keseringan update,sering update
lemot dan gangguan sinyal,ganggu sinyal
mudah dan dapat di akses dengan cepat,mudah akses cepat
"mau updet tp kok download nya lama bgt , emang gini atau gimana?? tolong bantu jawap",updet tp download bgt emang gin gimana tolong bantu jawap
aplikasi yg bagus,aplikasi bagus
"Ribet banget, selalu gagal verifikasi wajah.. gak seperti aplikasi mobile banking bank lain 👎👎👎👎👎👎👎👎👎👎👎👎👎",ribet gagal verifikasi wajah aplikasi mobile banking bank
"ada arahan untuk update, tp setelah masuk ke playstore tidak bisa di update karna perangkat tidak mendukung, padahal minggu lalu masih bisa aja di buka aplikasinya :( giliran ganti hp kode otp nya gk masuk"" waktu tunggu nya cuman semenit, pulsanya udah abis kepotong terus 😔",arah update tp masuk playstore tidak update karna perangkat tidak dukung minggu buka aplikasi gilir ganti hp kode otp masuk tunggu cuman menit pulsa abis potong
kata'a sruh update tpi ko ga bsa d update knpa y aneh bgd jdi ga bsa buat transfer ni,sruh update tpi ko bsa update knpa aneh bgd jdi bsa transfer ni
kebanyakan update kukasi bintang sgitu dulu,banyak update kas bintang sgitu
"mohon lebih ditingkatkan lagi saat pembukaan rekening online cs-nya harus lebih respect jangan lemot saat vc agar nasabah tidak pindah ke bank lain,tolong bagiannya yg bertugas lebih baik lagi.",mohon tingkat buka rekening online cs respect jangan vc nasabah tidak pindah bank tolong bagi tugas
"udh masuk, mau notifikasi aja bikin emosi, habis dech sarapan pagi tadi",udh masuk notifikasi bikin emosi habis dech sarap pagi
mantap,mantap
baru coba uda kasih bintang 5 dlu,coba uda kasih bintang dlu
"Pengalaman bagus,sudah sangat membantu saya",alam bagus bantu
sangat bagus,bagus
"Aplikasi bagus sih mendukung banget, lebih simple juga dari pada yg sebelah. Tapi tolong dong jangan terlalu sering update!! Saya yg penyimpanan hpnya terbatas jadi males bgt kalo update harus hapus-hapus. Belum lagi kalo gatau mau hapus apa lagi, jadi gabisa di pake m-banking nya.",aplikasi bagus sih dukung simple belah tolong jangan update simpan hpnya batas males bgt kalo update hapus hapus belum kalo gatau hapus gabisa pake banking
